Input Sample,b_memory,b_naive,dendritic_myeloid_immature,dendritic_myeloid_mature,endothelial,eosinophil,epithelial,fibroblast,macrophage_M1,macrophage_M2,mast_cell,monocyte,neutrophil,nk_primed_IL2,nk_primed_IL2_PDGFD,nk_resting,t_CD4_memory,t_CD8_memory,t_CD8_naive,t_gamma_delta,t_helper,P-value,Pearson Correlation,RMSE
TCGA-HT-A74K,0.11417885424977779,0.01777950540899695,0,0,0.09361616469255671,0,0.01938473302910358,0.13033034988772843,0.06348796553349191,0.005890717484066787,0,0,0,0,0.11608459036083386,0,0,0.16317679317191147,0.27607032618153254,0,0,0,0.6082259864539125,0.7930644420792266
TCGA-HT-A74L,0,0.31071734571264,0.11566058136010601,0,0.04291887623508808,0,0.04349610175185176,0.004722123962533196,0.03763214932549636,0.015898875974721848,0,0,0.02582742643063862,0,0.005955254152003623,0,0.1349959620883713,0.05149041707727652,0.2106848859292727,0,0,0,0.6177884249865476,0.790572486862963
TCGA-HT-A74O,0,0.12320577225437805,0.08197932946221234,0,0.03581222132321666,0,0.06135071900452722,0.03989789595254981,0.05647062288808151,0,0,0,0.08105008338477768,0,0.04022737746400903,0.001564042355460434,0,0.12494068711481462,0.35350124879597267,0,0,0,0.6076368854692754,0.7957447294451209
TCGA-HW-7486,0,0.09156752473135014,0.09820711495640681,0,0.054947079731661616,0,0.0705266486673995,0.003843661259640795,0.0484904465133372,0,0,0,0.05331149737561702,0,0.03396347255293312,0.013206246255989963,0.00945451583053688,0.15027445224783229,0.3722073398772946,0,0,0,0.5005541928738294,0.8860911309228791
TCGA-HW-7487,0,0.15515345222977642,0.08107612154464547,0,0.017001541065041814,0,0.09971085749643065,0.012632415288717882,0.02009126039321779,0.0014571601064678904,0,0,0,0,0.10263373853912976,0,0,0.1900780796616588,0.3064730683070027,0,0.013692305367910836,0,0.5216618793743284,0.8759754756267042
TCGA-HW-7489,0.023715619010912486,0.0732242645320337,0.14165591140357822,0,0.027184744310709868,0,0.19056909239901226,0.008130400904087313,0.030972041222387295,0.0001,0,0,0.02309419681053606,0,0.10241174937997,0,0,0.1465475324487789,0.2131397960686138,0,0.019280997648569703,0,0.5733084413479392,0.8178075403952059
TCGA-HW-7490,0,0.16524380519239854,0.22086271760625212,0,0.054111827225532295,0,0.0897244721002766,0.0278365258448593,0,0,0,0.0012328315775474283,0,0,0.0028613715164659565,0.051390469367250564,0.0039386289896485085,0.06809273965402518,0.3147046109257435,0,0,0,0.6767804039116407,0.7343992721790855
TCGA-HW-7491,0,0.14743094383108235,0.022968730104760915,0,0.016809030828093117,0,0.055127254189429514,0.017213216037869513,0.030991891149121226,0,0,0,0.04737435058998283,0,0.09212106868297372,0,0.04165734075715401,0.22831153054528422,0.21403085877956643,0,0.08596378450468212,0.02,0.35855419948026773,1.0169142396767026
TCGA-HW-7493,0,0.21584439762625118,0.32086368198276805,0,0.010747395099879972,0,0.15910580324512574,0.0037115111780847555,0,0,0,0,0,0,0,0,0,0.07939604085496096,0.21033117001292942,0,0,0,0.5940231758164655,0.8026786515827078
TCGA-HW-7495,0.0001,0.08958079359184681,0.1225693402551075,0,0.06438192180281076,0,0.09957529657780012,0.0070189991529066905,0.025347603193818968,0,0,0,0.02946648144134197,0,0.07079768474977453,0,0,0.15094806802191793,0.34025934570758454,0,0,0,0.554627393618661,0.8377293657677551
